主类别,子类别,关键词,序号
歧视性内容,年龄歧视,小傻蛋儿,503
歧视性内容,年龄歧视,小傻货,504
歧视性内容,年龄歧视,小笨蛋样,505
歧视性内容,年龄歧视,小饭桶,506
歧视性内容,年龄歧视,小软蛋,507
歧视性内容,年龄歧视,小孬种样,508
歧视性内容,年龄歧视,小缩头龟,509
歧视性内容,年龄歧视,老酸货,510
歧视性内容,年龄歧视,老酸溜溜,511
歧视性内容,年龄歧视,老穷酸样,512
歧视性内容,年龄歧视,老顽固蛋,513
歧视性内容,年龄歧视,老倔驴,514
歧视性内容,年龄歧视,老泼妇,515
歧视性内容,年龄歧视,老刁婆,516
歧视性内容,年龄歧视,老恶婆,517
歧视性内容,年龄歧视,老毒妇,518
歧视性内容,年龄歧视,老巫婆,519
歧视性内容,年龄歧视,老妖怪,520
歧视性内容,年龄歧视,老妖精,521
歧视性内容,年龄歧视,小馋嘴猫,522
歧视性内容,年龄歧视,小贪吃鬼,523
歧视性内容,年龄歧视,小饿痨鬼,524
歧视性内容,年龄歧视,小馋虫样,525
歧视性内容,年龄歧视,小脏鬼,526
歧视性内容,年龄歧视,小邋遢样,527
歧视性内容,年龄歧视,小臭虫样,528
歧视性内容,年龄歧视,小懒骨头,529
歧视性内容,年龄歧视,小懒货样,530
歧视性内容,年龄歧视,小磨蹭鬼,531
歧视性内容,年龄歧视,小拖油瓶,532
歧视性内容,年龄歧视,小累赘样,533
歧视性内容,年龄歧视,小糊涂蛋,534
歧视性内容,年龄歧视,小迷糊样,535
歧视性内容,年龄歧视,老糊涂样子,536
歧视性内容,年龄歧视,老昏聩样,537
歧视性内容,年龄歧视,老迂腐样,538
歧视性内容,职业歧视,建筑工人粗人,539
歧视性内容,职业歧视,理发师托尼,540
歧视性内容,职业歧视,保安没前途,541
歧视性内容,职业歧视,司机跑腿的,542
歧视性内容,职业歧视,快递小哥底层,543
歧视性内容,职业歧视,护工低贱,544
歧视性内容,职业歧视,保安看门的,545
歧视性内容,职业歧视,幼师哄孩子,546
歧视性内容,职业歧视,送货员低端,547
歧视性内容,职业歧视,油漆工有毒,548
歧视性内容,职业歧视,保姆下人,549
歧视性内容,职业歧视,外卖员低端,550
歧视性内容,职业歧视,保洁脏活,551
歧视性内容,职业歧视,修理工手艺人,552
歧视性内容,职业歧视,电工接线的,553
歧视性内容,职业歧视,网管没出路,554
歧视性内容,职业歧视,服务员没出息,555
歧视性内容,职业歧视,瓦工砌墙的,556
歧视性内容,职业歧视,电工没出息,557
歧视性内容,职业歧视,农民工低等,558
歧视性内容,职业歧视,月嫂没地位,559
歧视性内容,职业歧视,护工伺候人的,560
歧视性内容,职业歧视,月嫂带孩子,561
歧视性内容,职业歧视,厨师油腻,562
歧视性内容,职业歧视,客服解决问题,563
歧视性内容,职业歧视,瓦工没格调,564
歧视性内容,职业歧视,钟点工廉价,565
歧视性内容,职业歧视,工人没文化,566
歧视性内容,职业歧视,木工做家具,567
歧视性内容,职业歧视,保洁大妈,568
歧视性内容,职业歧视,前台接待花瓶,569
歧视性内容,职业歧视,外卖小哥低端,570
歧视性内容,职业歧视,厨师伙夫,571
歧视性内容,职业歧视,导购员没本事,572
歧视性内容,职业歧视,快递分拣员苦力,573
歧视性内容,职业歧视,装卸工扛货的,574
歧视性内容,职业歧视,话务员没前途,575
歧视性内容,职业歧视,木工没文化,576
歧视性内容,职业歧视,幼师没价值,577
歧视性内容,职业歧视,焊工烧铁的,578
歧视性内容,职业歧视,理发师没档次,579
歧视性内容,职业歧视,保姆没尊严,580
歧视性内容,职业歧视,焊工没档次,581
歧视性内容,职业歧视,钟点工临时的,582
歧视性内容,职业歧视,修理工没出息,583
歧视性内容,职业歧视,小商贩摆摊的,584
歧视性内容,职业歧视,钳工拧螺丝,585
歧视性内容,职业歧视,快递分拣员干活的,586
歧视性内容,职业歧视,营业员站柜台,587
歧视性内容,职业歧视,家政工搞卫生,588
歧视性内容,职业歧视,护士伺候人,589
歧视性内容,职业歧视,收银员算数的,590
歧视性内容,职业歧视,家政工卑微,591
歧视性内容,职业歧视,网管混日子,592
歧视性内容,职业歧视,建筑工人搬砖的,593
歧视性内容,职业歧视,钳工没前途,594
歧视性内容,职业歧视,快递员底层,595
歧视性内容,职业歧视,分拣员苦力,596
歧视性内容,职业歧视,理货员底层,597
歧视性内容,职业歧视,导购员推销的,598
歧视性内容,职业歧视,理货员整理货,599
歧视性内容,职业歧视,分拣员分类的,600
歧视性内容,职业歧视,护士打针的,601
歧视性内容,职业歧视,司机没地位,602
歧视性内容,职业歧视,小商贩没格调,603
歧视性内容,职业歧视,仓管员看仓库,604
歧视性内容,职业歧视,流水线工人机械,605
歧视性内容,职业歧视,营业员没价值,606
歧视性内容,职业歧视,前台花瓶,607
歧视性内容,职业歧视,收银员没本事,608
歧视性内容,职业歧视,客服没能力,609
歧视性内容,职业歧视,工人傻力气,610
歧视性内容,职业歧视,仓管员没出息,611
歧视性内容,职业歧视,送货员送东西,612
歧视性内容,职业歧视,话务员接电话,613
歧视性内容,职业歧视,油漆工刷漆的,614
歧视性内容,职业歧视,装卸工粗活,615
歧视性内容,职业歧视,流水线工人打工的,616
歧视性内容,外貌歧视,斜眼儿,617
歧视性内容,外貌歧视,胖墩儿,618
歧视性内容,外貌歧视,大嘴巴,619
歧视性内容,外貌歧视,塌鼻梁,620
歧视性内容,外貌歧视,大饼脸,621
歧视性内容,外貌歧视,满脸痘,622
歧视性内容,外貌歧视,肥猪,623
歧视性内容,外貌歧视,大鼻子,624
歧视性内容,外貌歧视,斗鸡眼,625
歧视性内容,外貌歧视,三角眼,626
歧视性内容,外貌歧视,小短腿,627
歧视性内容,外貌歧视,黑炭头,628
歧视性内容,外貌歧视,驼背佬,629
歧视性内容,外貌歧视,水桶腰,630
歧视性内容,外貌歧视,瘦猴儿,631
歧视性内容,外貌歧视,招风耳,632
歧视性内容,外貌歧视,龅牙妹,633
歧视性内容,外貌歧视,罗圈腿,634
歧视性内容,外貌歧视,麻子脸,635
歧视性内容,外貌歧视,大象腿,636
歧视性内容,外貌歧视,丑八怪,637
歧视性内容,外貌歧视,鸡胸,638
歧视性内容,外貌歧视,矮冬瓜,639
歧视性内容,外貌歧视,厚嘴唇,640
歧视性内容,外貌歧视,香肠嘴,641
歧视性内容,外貌歧视,瘦竹竿,642
歧视性内容,外貌歧视,满脸皱纹,643
歧视性内容,外貌歧视,麻杆身材,644
歧视性内容,外貌歧视,秃瓢儿,645
歧视性内容,外貌歧视,弯腰驼背,646
歧视性内容,外貌歧视,小白脸,647
歧视性内容,外貌歧视,豆芽菜身材,648
歧视性内容,残障歧视,8. 瞎老头,649
歧视性内容,残障歧视,14. 跛脚废物,650
歧视性内容,残障歧视,5. 弱智,651
歧视性内容,残障歧视,26. 呆哑子,652
歧视性内容,残障歧视,11. 残障废物,653
歧视性内容,残障歧视,12. 瘫子废物,654
歧视性内容,残障歧视,22. 蠢笨瞎子,655
歧视性内容,残障歧视,28. 傻瘫货,656
歧视性内容,残障歧视,21. 低能残障,657
歧视性内容,残障歧视,25. 傻盲流,658
歧视性内容,残障歧视,16. 哑巴蠢材,659
歧视性内容,残障歧视,1. 残废人,660
歧视性内容,残障歧视,15. 盲流子,661
歧视性内容,残障歧视,23. 笨哑之人,662
歧视性内容,残障歧视,20. 瘫傻之人,663
歧视性内容,残障歧视,2. 瘸子,664
歧视性内容,残障歧视,24. 废瘫子,665
歧视性内容,残障歧视,13. 傻子玩意,666
歧视性内容,残障歧视,9. 聋婆娘,667
歧视性内容,残障歧视,18. 呆傻盲人,668
歧视性内容,残障歧视,3. 瞎子,669
歧视性内容,残障歧视,30. 低智残人,670
歧视性内容,残障歧视,17. 笨聋子,671
歧视性内容,残障歧视,4. 聋子,672
歧视性内容,残障歧视,19. 傻瘸子货,673
歧视性内容,残障歧视,27. 笨瘸鬼,674
歧视性内容,残障歧视,29. 蠢盲废物,675
歧视性内容,残障歧视,7. 傻瘸,676
歧视性内容,残障歧视,10. 智障货,677
歧视性内容,残障歧视,6. 脑瘫儿,678
歧视性内容,教育歧视,本科歧视专科,679
歧视性内容,教育歧视,电大学历受鄙视,680
歧视性内容,教育歧视,985歧视双非,681
歧视性内容,教育歧视,自考学历被歧视,682
歧视性内容,教育歧视,成人学历遭白眼,683
歧视性内容,教育歧视,瞧不起专科生,684
歧视性内容,教育歧视,歧视低学历,685
歧视性内容,教育歧视,三本生受歧视,686
歧视性内容,教育歧视,技校生不行,687
歧视性内容,教育歧视,非名校受歧视,688
歧视性内容,教育歧视,歧视夜大生,689
歧视性内容,教育歧视,低学历没出息,690
歧视性内容,教育歧视,低文凭被嫌弃,691
歧视性内容,教育歧视,歧视电大生,692
歧视性内容,教育歧视,普本被歧视,693
歧视性内容,教育歧视,普通院校被歧视,694
歧视性内容,教育歧视,非全日制不行,695
歧视性内容,教育歧视,非985就不行,696
歧视性内容,教育歧视,歧视职业院校,697
歧视性内容,教育歧视,歧视职高生,698
歧视性内容,教育歧视,歧视专升本,699
歧视性内容,教育歧视,函授学历被看不起,700
歧视性内容,教育歧视,歧视成人高考学历,701
歧视性内容,教育歧视,歧视三本学生,702
歧视性内容,教育歧视,职业学院被歧视,703
歧视性内容,教育歧视,夜大文凭不行,704
歧视性内容,教育歧视,鄙视技校生,705
歧视性内容,教育歧视,歧视非全日制,706
歧视性内容,教育歧视,专升本没前途,707
歧视性内容,教育歧视,双非遭歧视,708
歧视性内容,教育歧视,专科生没未来,709
歧视性内容,教育歧视,专科就是差,710
歧视性内容,教育歧视,看不上中专生,711
歧视性内容,教育歧视,1. 普高歧视职高,712
歧视性内容,教育歧视,3. 公立歧视私立,713
歧视性内容,教育歧视,5. 女博士被歧视,714
歧视性内容,教育歧视,6. 理科歧视文科,715
歧视性内容,教育歧视,8. 单科差被歧视,716
歧视性内容,教育歧视,9. 农村学校歧视,717
歧视性内容,教育歧视,12. 体校生被歧视,718
歧视性内容,教育歧视,13. 艺术生被歧视,719
歧视性内容,教育歧视,14. 特长生遭歧视,720
歧视性内容,教育歧视,16. 贫困生受歧视,721
歧视性内容,教育歧视,17. 非团员受歧视,722
歧视性内容,教育歧视,19. 奥数差被歧视,723
歧视性内容,教育歧视,20. 英语差被歧视,724
歧视性内容,教育歧视,2. 非全硕士遭嫌,725
歧视性内容,教育歧视,3. 专科歧视中专,726
歧视性内容,教育歧视,4. 普通校被看低,727
歧视性内容,教育歧视,5. 夜大文凭受贬,728
歧视性内容,教育歧视,6. 二本歧视三本,729
歧视性内容,教育歧视,7. 民办校受歧视,730
歧视性内容,教育歧视,8. 函授学历被嘲,731
歧视性内容,教育歧视,9. 网教学历遭讽,732
歧视性内容,教育歧视,10. 体育生受偏见,733
歧视性内容,教育歧视,11. 艺术生被轻视,734
歧视性内容,教育歧视,12. 非重点被小看,735
歧视性内容,教育歧视,13. 职高生受歧视,736
歧视性内容,教育歧视,14. 中专生被嫌弃,737
歧视性内容,教育歧视,15. 非顶尖遭歧视,738
歧视性内容,教育歧视,16. 低分校被歧视,739
歧视性内容,教育歧视,17. 冷门专业受欺,740
歧视性内容,教育歧视,18. 师范校被看扁,741
歧视性内容,教育歧视,19. 非医科被歧视,742
